,mean_train_acc,mean_validation_acc,mean_test_acc
80/20 RF,0.9304666666666668,0.8855666666666666,0.8862
50/50 RF,0.9388,0.8886666666666666,0.8873666666666667
20/80 RF,0.9314333333333332,0.8886666666666666,0.8893333333333334
80/20 LOGREG ,0.8874666666666666,0.8830666666666667,0.8837
50/50 LOGREG ,0.8870666666666667,0.8852666666666668,0.8849999999999999
20/80 LOGREG ,0.8869000000000001,0.8856,0.8862666666666666
80/20 BST-DT ,0.9999333333333333,0.8458666666666668,0.8419
50/50 BST-DT ,0.9998999999999999,0.8470666666666666,0.8441000000000001
20/80 BST-DT ,0.9998666666666667,0.8470666666666666,0.8446333333333333
